row_idx	col_idx	log2ratio
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0008976647406
2	1	0.000817206559756
2	2	0.00134626031626
2	3	0.0
2	4	0.0
2	5	0.0
3	1	-0.00240172623646
3	2	0.000587544065805
3	3	0.0
3	4	0.0
3	5	0.000221533008418
4	1	0.0
4	2	0.0
4	3	0.00131476396163
4	4	-0.00164728088983
4	5	1.76520183675e-06
5	1	-4.72512233491e-05
5	2	-0.000864615741746
5	3	-0.000939717360283
5	4	0.0
5	5	0.0
6	1	9.79240109675e-05
6	2	0.00298707703663
6	3	-0.00424628782116
6	4	0.00613058582422
6	5	0.0
7	1	0.000195848021935
7	2	0.00144273524565
7	3	0.00165194589644
7	4	-0.000639359239234
7	5	0.000458085203848
8	1	0.0
8	2	0.0
8	3	-0.00104657247514
8	4	0.0
8	5	-0.000815910550008
9	1	0.0
9	2	0.000293772032902
9	3	0.0
9	4	0.00353998645029
9	5	-0.000695405903003
10	1	-0.00392090939717
10	2	-0.000633863308546
10	3	-0.000487567987568
10	4	0.0
10	5	0.0
11	1	0.00162419847375
11	2	0.000136506633871
11	3	0.0
11	4	0.0
11	5	0.0
12	1	0.0
12	2	-0.000188279927899
12	3	0.0
12	4	0.0
12	5	0.0
13	1	0.000504034737406
13	2	-0.00167918183282
13	3	-0.000244787585544
13	4	8.67003083408e-05
13	5	-0.0001665001665
14	1	0.0
14	2	0.0
14	3	0.000195848021935
14	4	-0.0012215205966
14	5	-0.000986909499246
15	1	9.79240109675e-05
15	2	0.0011597261854
15	3	0.00500851354232
15	4	0.00283738306126
15	5	0.0
16	1	0.0
16	2	0.0
16	3	-0.000425362226604
16	4	0.000412842880194
16	5	-0.000980210273734
17	1	0.0
17	2	-0.00104657247514
17	3	0.0
17	4	0.000211148648649
17	5	-0.00080880897316
18	1	6.18467437689e-05
18	2	0.0015682478698
18	3	0.00019305019305
18	4	0.00019305019305
18	5	6.14250614251e-05
19	1	0.0
19	2	0.0
19	3	0.0
19	4	0.0
19	5	0.00101281439738
20	1	-0.00350733737807
20	2	0.000714902706129
20	3	-0.00179875679876
20	4	-0.000289729103288
20	5	0.000195848021935
21	1	0.0
21	2	0.0
21	3	9.79240109675e-05
21	4	-0.00141721934797
21	5	0.00214908804215
22	1	0.0
22	2	0.0
22	3	0.000104408991056
22	4	-4.38722501053e-05
22	5	0.000399814184861
23	1	0.0
23	2	0.0
23	3	-0.000425362226604
23	4	-0.00161308531645
23	5	-0.000172756796248
24	1	-8.41193115401e-05
24	2	0.0
24	3	0.0
24	4	0.0
24	5	6.14250614251e-05
25	1	-0.00057430837723
25	2	-4.27842526022e-05
25	3	-0.000515201030903
25	4	0.0
25	5	0.0
26	1	-0.000222889059944
26	2	0.00101170906841
26	3	-0.00142030948884
26	4	0.0
26	5	-0.000523286237572
27	1	0.0
27	2	9.79240109675e-05
27	3	0.0
27	4	0.00247138123523
27	5	-0.00292693712847
28	1	0.0
28	2	-0.00147312546286
28	3	0.0102656182185
28	4	0.000966353185023
28	5	0.00288155187713
29	1	-8.0285354943e-05
29	2	0.000506860571163
29	3	0.0
29	4	-3.77629243609e-05
29	5	-0.00014245014245
30	1	0.0
30	2	9.79240109675e-05
30	3	0.00039169604387
30	4	-0.000685542354965
30	5	-0.00208328147251
31	1	0.000126116818972
31	2	-0.000198870147905
31	3	0.00040338846309
31	4	0.0
31	5	0.0
32	1	0.0
32	2	0.0
32	3	-0.000425362226604
32	4	0.0
32	5	-0.000537607121424
33	1	6.18467437689e-05
33	2	0.00108522574641
33	3	0.0003861003861
33	4	0.00019305019305
33	5	0.0
34	1	0.0
34	2	-0.000732860324971
34	3	0.00948885603591
34	4	-0.00111108302321
34	5	0.00081172232362
35	1	9.79240109675e-05
35	2	-0.00163025857051
35	3	0.00373440428751
35	4	0.000302365236864
35	5	0.00075961697202
36	1	0.0010755573329
36	2	-0.00290406275391
36	3	-4.92918193119e-06
36	4	0.0
36	5	0.0
37	1	0.00203684809758
37	2	0.0
37	3	0.0
37	4	0.0
37	5	0.0
38	1	0.0
38	2	0.0
38	3	0.000104408991056
38	4	0.00110039654599
38	5	0.000552418415612
39	1	-0.000431922275116
39	2	-0.00181817266166
39	3	5.04235578862e-05
39	4	0.0
39	5	0.0
40	1	-0.000866271845278
40	2	0.0
40	3	0.0
40	4	-0.000271361809823
40	5	0.0
41	1	0.0
41	2	0.000120322173213
41	3	0.000350089755066
41	4	-0.00169882194796
41	5	-0.000540694645026
42	1	-0.00017208742041
42	2	0.000752126243252
42	3	-0.00145273067581
42	4	0.0
42	5	0.0
43	1	0.000870748471795
43	2	-0.00126429322512
43	3	-0.000105924159437
43	4	0.0
43	5	-0.000110521662246
44	1	0.0
44	2	0.000195848021935
44	3	0.00147290309413
44	4	0.0305232584887
44	5	-0.00467266437533
45	1	-0.000391576848653
45	2	0.000314765377507
45	3	-0.000825523341201
45	4	0.0
45	5	0.000595955542106
46	1	0.0
46	2	0.0
46	3	0.0
46	4	0.000884248522055
46	5	-0.000888520867257
47	1	-0.00100644606665
47	2	0.0
47	3	0.0
47	4	0.0
47	5	0.0
48	1	0.0
48	2	-0.00136851565778
48	3	0.0
48	4	0.0
48	5	0.0
49	1	-0.000159208270606
49	2	-0.00162399202385
49	3	-5.07704366459e-06
49	4	0.0
49	5	-0.000997150997151
50	1	3.08455151025e-05
50	2	-0.000198870147905
50	3	0.00040338846309
50	4	0.0
50	5	0.0
